type,start_time,ambient_temperature,battery_id,test_id,uid,filename,Capacity,Re,Rct,RUL,delta_0
discharge,2010-07-21 15:00:35,4,B0047,0,1,00001.csv,1.6743047446975208,,,24.0,1.1542059263078261
impedance,2010-07-21 16:53:45,24,B0047,1,2,00002.csv,,0.05605783343888099,0.20097016584458333,,0.2097485634444724
charge,2010-07-21 17:25:40,4,B0047,2,3,00003.csv,,,,,1.5343608845326564
impedance,2010-07-21 20:31:05,24,B0047,3,4,00004.csv,,0.05319185850921101,0.16473399914864734,,0.3114429060452385
discharge,2010-07-21 21:02:56,4,B0047,4,5,00005.csv,1.5243662105099023,,,20.0,2.1361400530115078
charge,2010-07-21 22:38:43,4,B0047,5,6,00006.csv,,,,,2.8113665769826848
discharge,2010-07-22 01:40:06,4,B0047,6,7,00007.csv,1.5080762969973425,,,18.0,1.6799467941139234
charge,2010-07-22 03:14:53,4,B0047,7,8,00008.csv,,,,,3.156280433155905
discharge,2010-07-22 06:16:21,4,B0047,8,9,00009.csv,1.4835577960067696,,,16.0,2.218646533522802
charge,2010-07-22 07:50:21,4,B0047,9,10,00010.csv,,,,,3.0681671747713266
discharge,2010-07-22 10:51:48,4,B0047,10,11,00011.csv,1.4671391666146525,,,14.0,2.232764886356643
charge,2010-07-22 12:25:03,4,B0047,11,12,00012.csv,,,,,3.133380633936818
discharge,2010-07-22 15:26:29,4,B0047,12,13,00013.csv,1.448858156982267,,,12.0,1.9247222187493642
impedance,2010-07-22 17:03:07,24,B0047,13,14,00014.csv,,0.05963791501051059,0.21039872263834902,,0.1759668718866866
charge,2010-07-22 17:34:59,4,B0047,14,15,00015.csv,,,,,1.8482818839619803
impedance,2010-07-22 20:40:25,24,B0047,15,16,00016.csv,,0.05512505361624278,0.1754882075917004,,0.34317801319847974
discharge,2010-07-23 09:59:08,4,B0047,16,17,00017.csv,1.4458534180949325,,,8.0,2.129200450619945
impedance,2010-07-23 11:35:36,24,B0047,17,18,00018.csv,,0.058878485312444453,0.19095687096090014,,0.183012027385208
charge,2010-07-23 12:07:29,4,B0047,18,19,00019.csv,,,,,1.4896341664704889
impedance,2010-07-23 15:12:59,24,B0047,19,20,00020.csv,,0.05281282159808424,0.17225152334151322,,0.313423539485518
discharge,2010-07-23 15:44:51,4,B0047,20,21,00021.csv,1.431118266178283,,,4.0,2.000144816445504
charge,2010-07-23 17:17:36,4,B0047,21,22,00022.csv,,,,,3.28052161271831
discharge,2010-07-23 20:19:02,4,B0047,22,23,00023.csv,1.4192745516578533,,,2.0,1.8163665221455956
charge,2010-07-23 21:50:50,4,B0047,23,24,00024.csv,,,,,2.5646542019886365
discharge,2010-07-24 00:52:14,4,B0047,24,25,00025.csv,1.3999974221808271,,,0.0,1.832204459173192
charge,2010-07-24 02:23:21,4,B0047,25,26,00026.csv,,,,,3.1740833233751347
discharge,2010-07-24 05:24:46,4,B0047,26,27,00027.csv,1.3885156686114437,,,0.0,1.8202739135402746
charge,2010-07-24 06:55:11,4,B0047,27,28,00028.csv,,,,,2.5588418900449295
discharge,2010-07-24 09:56:39,4,B0047,28,29,00029.csv,1.3652234669528964,,,0.0,1.7652517477425425
impedance,2010-07-24 11:30:35,24,B0047,29,30,00030.csv,,0.057516600514537095,0.196364379896874,,0.3617227708265828
charge,2010-07-24 12:02:28,4,B0047,30,31,00031.csv,,,,,1.4665731054705076
impedance,2010-07-24 15:07:54,24,B0047,31,32,00032.csv,,0.05353424494363978,0.1777073031474945,,0.33662425125237627
discharge,2010-07-27 16:12:05,4,B0047,32,33,00033.csv,1.4060442272970963,,,0.0,1.9416752694885513
impedance,2010-07-27 17:47:10,24,B0047,33,34,00034.csv,,0.06203113143529375,0.20089789289030596,,0.3042393522707308
charge,2010-07-27 18:19:03,4,B0047,34,35,00035.csv,,,,,1.5626038943123388
impedance,2010-07-27 21:24:31,24,B0047,35,36,00036.csv,,0.05858490374013478,0.18415407975514042,,0.3718849452725688
discharge,2010-07-27 21:56:24,4,B0047,36,37,00037.csv,1.4057541613525781,,,0.0,1.985550533591186
charge,2010-07-27 23:28:08,4,B0047,37,38,00038.csv,,,,,2.8417443926856527
discharge,2010-07-28 02:29:37,4,B0047,38,39,00039.csv,1.3867662881727878,,,0.0,1.9234747697684516
charge,2010-07-28 04:00:28,4,B0047,39,40,00040.csv,,,,,2.744349158485903
discharge,2010-07-28 07:01:57,4,B0047,40,41,00041.csv,1.3705053061420223,,,0.0,1.9833386076682904
charge,2010-07-28 08:31:35,4,B0047,41,42,00042.csv,,,,,2.388410180936485
discharge,2010-07-28 11:33:01,4,B0047,42,43,00043.csv,1.3497431114823601,,,0.0,1.6185456870148665
charge,2010-07-28 13:02:08,4,B0047,43,44,00044.csv,,,,,2.871441289242018
discharge,2010-07-28 16:03:39,4,B0047,44,45,00045.csv,1.3251533367939783,,,0.0,1.814189977523491
impedance,2010-07-28 17:36:00,24,B0047,45,46,00046.csv,,0.062410515179020035,0.21439323318771758,,0.31536800883726873
charge,2010-07-28 18:07:53,4,B0047,46,47,00047.csv,,,,,1.6524841898956903
impedance,2010-07-28 21:13:22,24,B0047,47,48,00048.csv,,0.058089440596035116,0.18668970409335445,,0.36242664383561474
discharge,2010-07-28 21:45:15,4,B0047,48,49,00049.csv,1.3111943869635805,,,0.0,1.6570310870681526
charge,2010-07-28 23:13:00,4,B0047,49,50,00050.csv,,,,,2.9578487061815557
discharge,2010-07-29 02:14:29,4,B0047,50,51,00051.csv,0,,,0.0,1.047528741711105
charge,2010-07-29 02:55:52,4,B0047,51,52,00052.csv,,,,,0.6701432526806687
discharge,2010-07-29 05:57:18,4,B0047,52,53,00053.csv,1.3394234405932892,,,0.0,1.4470961789177108
charge,2010-07-29 07:27:57,4,B0047,53,54,00054.csv,,,,,2.346071084221193
discharge,2010-07-29 10:29:29,4,B0047,54,55,00055.csv,1.2849157142560723,,,0.0,1.473597567970679
charge,2010-07-29 11:56:11,4,B0047,55,56,00056.csv,,,,,2.7215993261625884
discharge,2010-07-29 14:57:39,4,B0047,56,57,00057.csv,1.281719159327807,,,0.0,1.4815956695402577
impedance,2010-07-29 16:27:30,24,B0047,57,58,00058.csv,,0.06545446046217203,0.22145350055169272,,0.2538634834553463
charge,2010-07-29 16:59:23,4,B0047,58,59,00059.csv,,,,,1.9987832800470304
impedance,2010-07-29 20:04:55,24,B0047,59,60,00060.csv,,0.05889356113513966,0.20283861831236083,,0.3719839304437649
discharge,2010-07-29 20:36:49,4,B0047,60,61,00061.csv,1.2600051642942829,,,0.0,1.5269310741083084
charge,2010-07-29 22:02:15,4,B0047,61,62,00062.csv,,,,,2.7288200955837856
discharge,2010-07-30 01:03:48,4,B0047,62,63,00063.csv,1.266070385993126,,,0.0,1.5085564150980302
charge,2010-07-30 02:28:41,4,B0047,63,64,00064.csv,,,,,2.3481165007669613
discharge,2010-07-30 05:30:13,4,B0047,64,65,00065.csv,1.2413590294280803,,,0.0,1.4301136401882626
charge,2010-07-30 06:54:35,4,B0047,65,66,00066.csv,,,,,2.4529061849720066
discharge,2010-07-30 09:56:07,4,B0047,66,67,00067.csv,1.2298873703485311,,,0.0,1.3774794319616193
charge,2010-07-30 11:19:35,4,B0047,67,68,00068.csv,,,,,2.81882572832365
discharge,2010-07-30 14:21:03,4,B0047,68,69,00069.csv,1.228088614506696,,,0.0,1.6035442587317081
impedance,2010-07-30 15:48:12,24,B0047,69,70,00070.csv,,0.06743699845446587,0.23182146271844611,,0.16367913877881846
charge,2010-07-30 16:20:06,4,B0047,70,71,00071.csv,,,,,2.0421552359062605
impedance,2010-07-30 19:25:34,24,B0047,71,72,00072.csv,,0.060657470418007564,0.21399678178486087,,0.36943556056893995
discharge,2010-07-30 19:57:28,4,B0047,72,73,00073.csv,1.2139857189070042,,,0.0,1.407557803259296
