type,start_time,ambient_temperature,battery_id,test_id,uid,filename,Capacity,Re,Rct,RUL,<lambda>_Battery_current,<lambda>_Battery_impedance,<lambda>_Current_charge,<lambda>_Current_load,<lambda>_Current_measured,<lambda>_Sense_current,<lambda>_Temperature_measured,<lambda>_Voltage_charge,<lambda>_Voltage_load,<lambda>_Voltage_measured,mean_Battery_current,mean_Battery_impedance,mean_Current_charge,mean_Current_load,mean_Current_measured,mean_Rectified_Impedance,mean_Sense_current,mean_Temperature_measured,mean_Voltage_charge,mean_Voltage_load,mean_Voltage_measured,std_Battery_current,std_Battery_impedance,std_Current_charge,std_Current_load,std_Current_measured,std_Rectified_Impedance,std_Sense_current,std_Temperature_measured,std_Voltage_charge,std_Voltage_load,std_Voltage_measured,Impedance_Magnitude_Avg,Impedance_Magnitude_Change_Rate
charge,2008-04-02 13:08:17,24,B0005,0,5121,05121.csv,,,,,,,0.0,,-0.0016917834599543,,-0.1483173357908036,0.0,,0.3180603415010026,,,0.6384524714828897,,0.6434546691871927,,,25.32407901830568,4.359486692015209,,4.187419504014827,,,0.6215984241029818,,0.6258037363399143,,,1.0119511844877824,0.8811247506920138,,0.0457940186150001,,
discharge,2008-04-02 15:25:41,24,B0005,1,5122,05122.csv,1.8564874208181574,,,447.0,,,,0.0,-0.0016267620441443,,9.900818955970422,,0.0,-0.9143218306800986,,,,-1.805569543147208,-1.8187019641679727,,,32.572328114029,,2.404944162436548,3.52982866886934,,,,0.5912168781647147,0.5950584036965106,,,3.495804364444764,,0.7969738952584344,0.2365582361664671,,
charge,2008-04-02 16:37:51,24,B0005,2,5123,05123.csv,,,,,,,0.002,,-0.0021352703650363,,-4.391898475616156,0.0,,0.8640071842406525,,,0.9417617021276596,,0.949042672725116,,,26.63562262811608,4.430904255319149,,4.058826443375249,,,0.6620247885713462,,0.6666145137810588,,,1.35849399734024,0.7107122658259842,,0.1774742923766238,,
discharge,2008-04-02 19:43:48,24,B0005,3,5124,05124.csv,1.846327249719927,,,445.0,,,,0.0,-0.0004688037589279,,9.694384651459377,,0.0,-0.8895283267243532,,,,-1.8045826530612243,-1.817559850661287,,,32.72523522519307,,2.399260204081633,3.5373201277859714,,,,0.5925612633090891,0.5967037718608691,,,3.4355094885337065,,0.7965958204619166,0.2353661208702503,,
charge,2008-04-02 20:55:40,24,B0005,4,5125,05125.csv,,,,,,,0.0,,0.0002869156466688,,-4.576215257265442,0.0,,0.8347945658073868,,,0.9431141942369264,,0.9505286974657304,,,26.778175507896695,4.402618996798292,,4.058138828852896,,,0.6625703903753581,,0.6673092105445458,,,1.371850639423883,0.8080363351964506,,0.175380487569974,,
discharge,2008-04-03 00:01:06,24,B0005,5,5126,05126.csv,1.8353491942234077,,,443.0,,,,0.0,0.002780048725597,,9.498512551808869,,0.0,-0.8607357261226753,,,,-1.8035753846153844,-1.816486541884096,,,32.64286193755933,,2.39796923076923,3.5437367282719,,,,0.5939252344640928,0.598033410427442,,,3.388173834611566,,0.7973888889904898,0.228111087522163,,
charge,2008-04-03 01:12:38,24,B0005,6,5127,05127.csv,,,,,,,0.0,,0.0014038331600807,,-4.561118025380914,0.0,,0.8092559795612733,,,0.9447352625937836,,0.952311520621674,,,26.70320405781683,4.418978563772776,,4.058904789088504,,,0.6619425451334809,,0.6666278041175593,,,1.3758085894557874,0.7705456817143709,,0.1726991165266607,,
discharge,2008-04-03 04:16:37,24,B0005,7,5128,05128.csv,1.8352625275821128,,,441.0,,,,0.0,0.0005414144335963,,9.759213483377051,,0.0,-0.8742792599485427,,,,-1.8128628865979384,-1.8255891938692528,,,32.51487646204882,,2.4082886597938145,3.5436661072601456,,,,0.581063139947025,0.5849720920767387,,,3.395305825857119,,0.7806767020572486,0.2333465027689954,,
charge,2008-04-03 05:27:49,24,B0005,8,5129,05129.csv,,,,,,,0.0,,0.0009011901377474,,-4.805213458491529,0.0,,0.8155675134761471,,,0.940360725720384,,0.9477284862498988,,,26.617004288392003,4.364055496264675,,4.058329981003973,,,0.6639620201354733,,0.6687719757450901,,,1.3871324110960768,0.9155237508496792,,0.1736281791449295,,
discharge,2008-04-03 08:33:25,24,B0005,9,5130,05130.csv,1.8346455082120419,,,439.0,,,,0.0,0.0079901040322988,,9.821088030630566,,0.0,-0.8828017934745747,,,,-1.8128762886597936,-1.8261139590277584,,,32.38234901543077,,2.408505154639175,3.5423432526672167,,,,0.581067438992805,0.5849781734923365,,,3.404666943380702,,0.7813476881759179,0.2373009622577081,,
charge,2008-04-03 09:44:35,24,B0005,10,5131,05131.csv,,,,,,,0.0,,-0.0032504728814882,,-4.761607414821594,0.0,,0.8219197841261598,,,0.9256123949579832,,0.93266069438483,,,26.51849450408942,4.326279411764706,,4.059785107501149,,,0.6687555622762594,,0.6735039555301467,,,1.3704937615450872,0.99179613678763,,0.174176424564412,,
discharge,2008-04-03 12:55:10,24,B0005,11,5132,05132.csv,1.8356616600675495,,,437.0,,,,0.0,0.0010883381825913,,9.67862954407801,,0.001,-0.8864866949748449,,,,-1.80365641025641,-1.8168108743168805,,,32.43418218230641,,2.3962512820512822,3.541334734634757,,,,0.5939449951080079,0.5982374845560281,,,3.426121786903716,,0.7980125205306028,0.2399322616711474,,
charge,2008-04-03 14:06:43,24,B0005,12,5133,05133.csv,,,,,,,0.002,,-0.002385605539537,,-4.733952128707362,0.0,,0.8276029947924264,,,0.9251428571428572,,0.9322724824266048,,,26.620706323978894,4.287875,,4.058914241429766,,,0.6694268485376408,,0.6744064200034551,,,1.3694742823181505,1.0666019108851674,,0.1750131338501,,
discharge,2008-04-03 17:17:16,24,B0005,13,5134,05134.csv,1.8351461429226603,,,435.0,,,,0.0,-0.0007913920492875,,9.713406476715374,,0.0,-0.8946509683888886,,,,-1.8036205128205127,-1.816791144707133,,,32.480416444757985,,2.394646153846154,3.541025049507521,,,,0.5939297018259618,0.598027293280686,,,3.4283444842023894,,0.7979523039017691,0.2431395702465373,,
charge,2008-04-03 18:28:47,24,B0005,14,5135,05135.csv,,,,,,,0.0,,-0.0024505733389919,,-4.484470155449362,0.0,,0.8337660268636178,,,0.9578858695652174,,0.9653291698755072,,,26.73791888890172,4.456064130434783,,4.053425643583467,,,0.6577048256378849,,0.6622559218143776,,,1.364063956185176,0.6561709128188274,,0.1776536824684221,,
discharge,2008-04-03 21:28:14,24,B0005,15,5136,05136.csv,1.8257567905665537,,,433.0,,,,0.0,-0.0005173770870028,,10.048613037027366,,0.0,-0.8726971507378045,,,,-1.830883769633508,-1.844341212075406,,,32.41046186109587,,2.434628272251309,3.554133296801584,,,,0.5548802682593875,0.5588480400785013,,,3.3604246400026705,,0.7453762970802764,0.2279099167513015,,
charge,2008-04-03 22:38:27,24,B0005,16,5137,05137.csv,,,,,,,0.0,,-0.0003384583079646,,-4.807521633552351,0.0,,0.8019854449251143,,,0.9542204125950056,,0.9616213808811536,,,26.741457030661454,4.4105298588490776,,4.055637707823975,,,0.659599043438218,,0.6643325706984581,,,1.3849308367226507,0.8017416309868661,,0.1736812783641937,,
